grupo_cultivo,periodo,cultivo
Bosques y montes implantados,Perenne,Álamo
Bosques y montes implantados,Perenne,Eucalipto
Bosques y montes implantados,Perenne,Pino
Bosques y montes implantados,Perenne,Otras coníferas
Bosques y montes implantados,Perenne,Sauces
Bosques y montes implantados,Perenne,Otros
Bosques y montes implantados,Perenne,Sin discriminar
Bosques y montes implantados,Perenne,Paraíso
Bosques y montes implantados,Perenne,Sauce álamo
Bosques y montes implantados,Perenne,Otros sauces
Bosques y montes implantados,Perenne,Algarrobo
Bosques y montes implantados,Perenne,Cedro
Bosques y montes implantados,Perenne,Tipa
Bosques y montes implantados,Perenne,Toona
Bosques y montes implantados,Perenne,Alamo
Bosques y montes implantados,Perenne,Grevillea
Bosques y montes implantados,Perenne,Kiri
Bosques y montes implantados,Perenne,Nativas|Algarrobo
Bosques y montes implantados,Perenne,Nativas|Araucaria
Bosques y montes implantados,Perenne,Nativas|Tipa
Bosques y montes implantados,Perenne,Nativas|Otras nativas
Bosques y montes implantados,Perenne,Pino Oregón
Bosques y montes implantados,Perenne,Otros pinos
Bosques y montes implantados,Perenne,Pehuén
Bosques y montes implantados,Perenne,Otras nativas
Bosques y montes implantados,Perenne,Otras especies
Bosques y Montes implantados,Perenne,Perenne
Cereales para grano,Primera población,Alforfón (trigo sarraceno)
Cereales para grano,Primera población,Alpiste
Cereales para grano,Primera población,Arroz
Cereales para grano,Primera población,Avena
Cereales para grano,Primera población,Cebada cervecera
Cereales para grano,Primera población,Centeno
Cereales para grano,Primera población,Maíz pisingallo
Cereales para grano,Primera población,Maíz
Cereales para grano,Primera población,Mijo
Cereales para grano,Primera población,Sorgo granífero
Cereales para grano,Primera población,Trigo | Candeal
Cereales para grano,Primera población,Trigo | Pan
Cereales para grano,Primera población,Otros
Cereales para grano,Segunda población,Alforfón (trigo sarraceno)
Cereales para grano,Segunda población,Alpiste
Cereales para grano,Segunda población,Arroz
Cereales para grano,Segunda población,Avena
Cereales para grano,Segunda población,Cebada cervecera
Cereales para grano,Segunda población,Centeno
Cereales para grano,Segunda población,Maíz pisingallo
Cereales para grano,Segunda población,Maíz
Cereales para grano,Segunda población,Mijo
Cereales para grano,Segunda población,Sorgo granífero
Cereales para grano,Segunda población,Trigo | Candeal
Cereales para grano,Segunda población,Trigo | Pan
Cereales para grano,Segunda población,Otros
Cereales para grano,Primera población,Trigo
Cereales para grano,Segunda población,Trigo
Cereales para grano,Primera población,Cebada | Cervecera
Cereales para grano,Primera población,Cebada | Forrajera
Cereales para grano,Segunda población,Cebada | Cervecera
Cereales para grano,Segunda población,Cebada | Forrajera
Cereales para grano,Primera población,Sin discriminar
Cereales para grano,Segunda población,Sin discriminar
Cereales para grano,Primera población,Cebada
Cereales para grano,Segunda población,Cebada
Cereales para grano,Primera población,Cebada forrajera
Cereales para grano,Segunda población,Cebada forrajera
Cereales para grano,Primera población,Trigo | Candal
Cereales para grano,Segunda población,Trigo | Candal
Forrajeras perennes,Perenne,Achicoria
Forrajeras perennes,Perenne,Agropiro
Forrajeras perennes,Perenne,Alfalfa pura
Forrajeras perennes,Perenne,Cebadilla criolla
Forrajeras perennes,Perenne,Falaris
Forrajeras perennes,Perenne,Festuca
Forrajeras perennes,Perenne,Lotus
Forrajeras perennes,Perenne,Panicum
Forrajeras perennes,Perenne,Pasto llorón
Forrajeras perennes,Perenne,Pasto ovillo
Forrajeras perennes,Perenne,Pasto Pangola
Forrajeras perennes,Perenne,Raigrás perenne
Forrajeras perennes,Perenne,Sorgo negro
Forrajeras perennes,Perenne,Trébol blanco
Forrajeras perennes,Perenne,Trébol rojo
Forrajeras perennes,Perenne,Otras perennes puras
Forrajeras perennes,Perenne,Alfalfa consociada
Forrajeras perennes,Perenne,Otras perennes consociadas
Forrajeras perennes,Perenne,Sin discriminar
Forrajeras perennes,Perenne,Brachiaria
Forrajeras perennes,Perenne,Buffel Grass
Forrajeras perennes,Perenne,Gatton Panic
Forrajeras perennes,Perenne,Otros Panicum
Forrajeras perennes,Perenne,Grama Rhodes
Forrajeras perennes,Perenne,Setaria
Forrajeras perennes,Perenne,Dicantium
Forrajeras perennes,Perenne,Leucaena
Forrajeras perennes,Perenne,Pasto elefante
Forrajeras perennes,Perenne,Pasto estrella
Forrajeras perennes,Perenne,Pasto pangola
Forrajeras perennes,Perenne,Tréboles
Forrajeras perennes,Perenne,Cebadilla
Forrajeras perennes,Perenne,Digitaria
Forrajeras anuales,Primera población,Avena
Forrajeras anuales,Primera población,Caupí
Forrajeras anuales,Primera población,Vicia
Forrajeras anuales,Primera población,Cebada forrajera
Forrajeras anuales,Primera población,Centeno
Forrajeras anuales,Primera población,Maíz
Forrajeras anuales,Primera población,Melilotus
Forrajeras anuales,Primera población,Mijo
Forrajeras anuales,Primera población,Moha
Forrajeras anuales,Primera población,Raigrás anual
Forrajeras anuales,Primera población,Sorgo  granífero
Forrajeras anuales,Primera población,Sorgo   forrajero
Forrajeras anuales,Primera población,Triticale
Forrajeras anuales,Primera población,Otras anuales puras
Forrajeras anuales,Primera población,Anuales consociadas
Forrajeras anuales,Primera población,Sin discriminar
Forrajeras anuales,Segunda población,Avena
Forrajeras anuales,Segunda población,Caupí
Forrajeras anuales,Segunda población,Vicia
Forrajeras anuales,Segunda población,Cebada forrajera
Forrajeras anuales,Segunda población,Centeno
Forrajeras anuales,Segunda población,Maíz
Forrajeras anuales,Segunda población,Melilotus
Forrajeras anuales,Segunda población,Mijo
Forrajeras anuales,Segunda población,Moha
Forrajeras anuales,Segunda población,Raigrás anual
Forrajeras anuales,Segunda población,Sorgo  granífero
Forrajeras anuales,Segunda población,Sorgo   forrajero
Forrajeras anuales,Segunda población,Triticale
Forrajeras anuales,Segunda población,Otras anuales puras
Forrajeras anuales,Segunda población,Anuales consociadas
Forrajeras anuales,Segunda población,Sin discriminar
Forrajeras anuales,Primera población,Sorgo forrajero
Forrajeras anuales,Segunda población,Sorgo forrajero
Forrajeras anuales,Primera población,Sorgo   granífero
Forrajeras anuales,Segunda población,Sorgo   granífero
Forrajeras anuales,Primera población,Sorgo  forrajero
Forrajeras anuales,Segunda población,Sorgo  forrajero
Forrajeras anuales,Primera población,Sorgo   Granífero
Forrajeras anuales,Primera población,Sorgo   Forrajero
Forrajeras anuales,Segunda población,Sorgo   Granífero
Forrajeras anuales,Segunda población,Sorgo   Forrajero
Frutales,Perenne,Cítricos  | Limonero
Frutales,Perenne,Cítricos  | Mandarino
Frutales,Perenne,Cítricos  | Naranjo
Frutales,Perenne,Cítricos  | Pomelo
Frutales,Perenne,Cítricos  | Otros y sin discriminar
Frutales,Perenne,De pepita  | Manzano
Frutales,Perenne,De pepita  | Membrillo
Frutales,Perenne,De pepita  | Peral
Frutales,Perenne,De carozo  | Cerezo
Frutales,Perenne,De carozo  | Ciruelo
Frutales,Perenne,De carozo  | Damasco
Frutales,Perenne,De carozo  | Duraznero
Frutales,Perenne,De carozo  | Otros
Frutales,Perenne,Secos  | Almendro
