censo,cuadro,link,provincia,departamento,unidad_de_registro,indicador,valor,escala_total
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,Tot-l,805,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,EAP sin límites definidos,0,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,0 - 5,1,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"5,1 - 10",3,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"10,1 - 25",5,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"25,1 - 50",34,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"50,1 - 100",70,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"100,1 - 200",154,100-200
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"200,1 - 500",278,200-500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"500,1 - 1.000",145,500-1000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"1.000,1 - 1.500",53,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"1.500,1 - 2.000",25,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"2.000,1 - 2.500",15,1000-2500
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"2.500,1 - 3.500",10,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"3.500,1 - 5.000",10,2.500-5.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"5.000,1 - 7.500",1,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"7.500,1 - 10.000",1,5.000-10.000
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,"10.000,1 - 20.000",0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,EAP,Más de 20.000,0,10.000 y más
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,Tot-l,450109,NA
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,EAP sin límites definidos,-1,EAP sin límites definidos
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,0 - 5,1,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"5,1 - 10",27,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"10,1 - 25",99.5,0-25
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"25,1 - 50",1450,25-50
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"50,1 - 100",6100.5,50-100
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"100,1 - 200",23853,100-200
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",06007,buenos aires,adolfo alsina,Hectárea,"200,1 - 500",91700.5,200-500
