link,depto,unidad,total,agro_asal_todo,agro_asal_parte,agro_tcp,agro_patron,no_agro_asal_todo,no_agro_asal_parte,no_agro_tcp,no_agro_patron,sd
06007,Adolfo Alsina,EAP,115,13,6,35,12,28,1,13,6,1
06007,Adolfo Alsina,Personas,117,14,6,35,12,29,1,13,6,1
06014,Adolfo Gonzáles Chaves,EAP,59,4,1,32,5,9,0,7,1,0
06014,Adolfo Gonzáles Chaves,Personas,60,5,1,32,5,9,0,7,1,0
06021,Alberti,EAP,48,6,0,20,1,10,0,11,0,0
06021,Alberti,Personas,48,6,0,20,1,10,0,11,0,0
06028,Almirante Brown,EAP,6,1,0,3,0,1,0,1,0,0
06028,Almirante Brown,Personas,6,1,0,3,0,1,0,1,0,0
06077,Arrecifes,EAP,42,3,1,12,1,14,0,9,1,1
06077,Arrecifes,Personas,42,3,1,12,1,14,0,9,1,1
06035,Avellaneda,EAP,0,0,0,0,0,0,0,0,0,0
06035,Avellaneda,Personas,0,0,0,0,0,0,0,0,0,0
06042,Ayacucho,EAP,195,33,9,61,6,40,6,31,3,6
06042,Ayacucho,Personas,199,34,9,62,6,41,6,32,3,6
06049,Azul,EAP,230,62,12,57,6,56,3,32,1,1
06049,Azul,Personas,232,62,12,58,6,57,3,32,1,1
06056,Bahía Blanca,EAP,84,13,3,17,3,17,0,27,1,3
06056,Bahía Blanca,Personas,85,13,3,17,3,17,0,28,1,3
06063,Balcarce,EAP,87,17,11,33,3,7,2,12,1,1
06063,Balcarce,Personas,88,17,11,34,3,7,2,12,1,1
06070,Baradero,EAP,33,2,0,10,6,4,1,9,1,0
06070,Baradero,Personas,33,2,0,10,6,4,1,9,1,0
06084,Benito Juárez,EAP,95,13,4,23,14,16,1,20,4,0
06084,Benito Juárez,Personas,95,13,4,23,14,16,1,20,4,0
06091,Berazategui,EAP,4,0,0,0,0,1,0,3,0,0
06091,Berazategui,Personas,4,0,0,0,0,1,0,3,0,0
06098,Berisso,EAP,22,4,0,1,0,9,0,8,0,0
06098,Berisso,Personas,22,4,0,1,0,9,0,8,0,0
06105,Bolívar,EAP,321,56,17,78,4,65,5,84,11,1
06105,Bolívar,Personas,321,56,17,78,4,65,5,84,11,1
06112,Bragado,EAP,85,3,0,46,9,8,0,17,2,0
06112,Bragado,Personas,86,3,0,47,9,8,0,17,2,0
06119,Brandsen,EAP,53,3,1,18,0,20,0,10,0,1
06119,Brandsen,Personas,54,3,1,19,0,20,0,10,0,1
06126,Campana,EAP,38,10,1,7,0,10,1,7,1,1
06126,Campana,Personas,40,10,1,7,0,11,1,7,1,2
06134,Cañuelas,EAP,65,11,1,10,1,16,0,22,3,1
06134,Cañuelas,Personas,65,11,1,10,1,16,0,22,3,1
06140,Capitán Sarmiento,EAP,13,3,0,3,3,2,0,0,2,0
06140,Capitán Sarmiento,Personas,13,3,0,3,3,2,0,0,2,0
06147,Carlos Casares,EAP,71,6,4,22,3,16,0,17,1,2
06147,Carlos Casares,Personas,71,6,4,22,3,16,0,17,1,2
06154,Carlos Tejedor,EAP,77,7,5,25,9,17,1,7,6,0
06154,Carlos Tejedor,Personas,77,7,5,25,9,17,1,7,6,0
06161,Carmen de Areco,EAP,14,2,0,2,0,7,0,2,0,1
06161,Carmen de Areco,Personas,14,2,0,2,0,7,0,2,0,1
06168,Castelli,EAP,19,1,1,8,1,2,0,5,0,1
06168,Castelli,Personas,19,1,1,8,1,2,0,5,0,1
06210,Chacabuco,EAP,93,6,3,47,3,13,0,18,2,1
06210,Chacabuco,Personas,97,6,3,50,3,14,0,18,2,1
06218,Chascomús,EAP,146,26,5,33,5,45,0,27,2,3
06218,Chascomús,Personas,150,28,5,33,5,46,0,28,2,3
06224,Chivilcoy,EAP,66,12,0,22,1,9,0,21,1,0
06224,Chivilcoy,Personas,68,13,0,23,1,9,0,21,1,0
06175,Colón,EAP,70,8,1,29,2,11,2,15,2,0
06175,Colón,Personas,70,8,1,29,2,11,2,15,2,0
06182,Coronel de Marina Leonardo Rosales,EAP,42,1,1,5,2,15,1,12,5,0
