Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Total,Hectáreas,1143.3,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Álamo,Hectáreas,5.0,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Eucalipto,Hectáreas,85.0,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Pino,Hectáreas,10.0,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Otras coníferas,Hectáreas,26.0,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Sauces,Hectáreas,0.0,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Otros,Hectáreas,18.0,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo alsina,Sin discriminar,Hectáreas,999.3,06007
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo gonzales chaves,Total,Hectáreas,345.7,06014
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo gonzales chaves,Álamo,Hectáreas,2.0,06014
2002,"Cuadro 4.24. Buenos Aires. Bosques y montes implantados. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,adolfo gonzales chaves,Eucalipto,Hectáreas,272.7,06014
