Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Total,131183.5,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Alforfón (trigo sarraceno),0.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Alpiste,0.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Arroz,15.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Avena,2325.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Cebada cervecera,20472.5,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Centeno,240.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Maíz pisingallo,0.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Maíz,4719.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Mijo,115.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Sorgo granífero,922.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Trigo | Candeal,440.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Trigo | Pan,101935.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Otros,0.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Total,130116.5,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Alforfón (trigo sarraceno),0.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Alpiste,0.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Arroz,15.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Avena,2293.0,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Cebada cervecera,20472.5,06007
2002,"Cuadro  4.6. Buenos Aires. Cereales para grano. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Centeno,240.0,06007
