Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Total,Hectáreas,74576.5,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Achicoria,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Agropiro,Hectáreas,7212.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Alfalfa pura,Hectáreas,1559.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Cebadilla criolla,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Falaris,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Festuca,Hectáreas,536.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Lotus,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Panicum,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Pasto llorón,Hectáreas,6297.5,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Pasto ovillo,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Pasto Pangola,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Raigrás perenne,Hectáreas,96.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Sorgo negro,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Trébol blanco,Hectáreas,12.5,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Trébol rojo,Hectáreas,8.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Otras perennes puras,Hectáreas,2425.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Alfalfa consociada,Hectáreas,54813.5,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Otras perennes consociadas,Hectáreas,1617.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo alsina,Sin discriminar,Hectáreas,0.0,06007
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Total,Hectáreas,60100.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Achicoria,Hectáreas,100.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Agropiro,Hectáreas,17873.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Alfalfa pura,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Cebadilla criolla,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Falaris,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Festuca,Hectáreas,930.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Lotus,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Panicum,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Pasto llorón,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Pasto ovillo,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Pasto Pangola,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Raigrás perenne,Hectáreas,268.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Sorgo negro,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Trébol blanco,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Trébol rojo,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Otras perennes puras,Hectáreas,321.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Alfalfa consociada,Hectáreas,21496.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Otras perennes consociadas,Hectáreas,19112.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,adolfo gonzales chaves,Sin discriminar,Hectáreas,0.0,06014
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Total,Hectáreas,2667.5,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Achicoria,Hectáreas,0.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Agropiro,Hectáreas,0.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Alfalfa pura,Hectáreas,78.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Cebadilla criolla,Hectáreas,0.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Falaris,Hectáreas,0.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Festuca,Hectáreas,8.0,06021
2002,"Cuadro 4.17. Buenos Aires. Forrajeras perennes. EAP con límites definidos. Superficie implantada por especie, según partido",buenos aires,alberti,Lotus,Hectáreas,0.0,06021
