Censo,Cuadro,Provincia,Departamento,Indicador,Unidad de registro,Valor,Link
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Total,Hectáreas,44.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Cítricos  | Limonero ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Cítricos  | Mandarino ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Cítricos  | Naranjo ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Cítricos  | Pomelo ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Cítricos  | Otros y sin discriminar,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De pepita  | Manzano ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De pepita  | Membrillo ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De pepita  | Peral ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De carozo  | Cerezo ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De carozo  | Ciruelo ,Hectáreas,16.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De carozo  | Damasco ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De carozo  | Duraznero ,Hectáreas,28.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,De carozo  | Otros ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Secos  | Almendro ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Secos  | Avellano ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Secos  | Castaño ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Secos  | Nogal ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Secos  | Pecán ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Secos  | Otros secos ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Menores (berries) | Arándano ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Menores (berries) | Frambuesa ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Menores (berries) | Otros berries ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Higuera,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Kiwi,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Olivo  | Aceite ,Hectáreas,0.0,06028
2002,"Cuadro 4.22. Buenos Aires. Frutales. EAP con límites definidos. Superficie implantada por especie, según partido y cantidad de plantas en el total de la provincia",buenos aires,almirante brown,Olivo  | Conserva ,Hectáreas,0.0,06028
