Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Total,160.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Algodón,160.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Café,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Caña de azúcar,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Jojoba,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Lúpulo,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Maíz de Guinea,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Tabaco Burley,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Tabaco Criollo salteño,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Tabaco Virginia,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Tabaco Otras variedades,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Tártago,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Total | Otros,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Total,160.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Algodón,160.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Café,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Caña de azúcar,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Jojoba,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Lúpulo,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Maíz de Guinea,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Tabaco Burley,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Tabaco Criollo salteño,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Tabaco Virginia,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Tabaco Otras variedades,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Tártago,0.0,10042
2002,"Cuadro 4.10. Catamarca. Industriales. EAP con límites definidos. Superficie implantada por especie, según departamento y período de ocupación",catamarca,capayán,Hectáreas,Primera población | Otros,0.0,10042
