Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Total,20.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Arveja,20.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Garbanzo,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Lenteja,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Lupino,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Poroto seco,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Otras,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Total,20.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Arveja,20.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Garbanzo,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Lenteja,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Lupino,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Poroto seco,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Otras,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Total,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Arveja,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Garbanzo,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Lenteja,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Lupino,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Poroto seco,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Otras,0.0,06007
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Total | Total,142.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Total | Arveja,142.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Total | Garbanzo,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Total | Lenteja,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Total | Lupino,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Total | Poroto seco,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Total | Otras,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Primera población | Total,142.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Primera población | Arveja,142.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Primera población | Garbanzo,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Primera población | Lenteja,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Primera población | Lupino,0.0,06077
2002,"Cuadro 4.13. Buenos Aires.  Legumbres. EAP con límites definidos. Superficie implantada por cultivo, según partido y período de ocupación",buenos aires,arrecifes,Hectáreas,Primera población | Poroto seco,0.0,06077
