Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Total,44915.5,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Colza,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Girasol confitería,32.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Girasol,32396.5,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Lino,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Maní,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Soja 1ra.,8875.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Soja 2da.,3587.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Total | Otras,25.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Total,32392.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Colza,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Girasol confitería,32.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Girasol,23304.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Lino,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Maní,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Soja 1ra.,8273.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Soja 2da.,783.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Primera población | Otras,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Total,12523.5,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Colza,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Girasol confitería,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Girasol,9092.5,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Lino,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Maní,0.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Soja 1ra.,602.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Soja 2da.,2804.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo alsina,Hectáreas,Segunda población | Otras,25.0,06007
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Total,51348.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Colza,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Girasol confitería,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Girasol,41274.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Lino,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Maní,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Soja 1ra.,8681.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Soja 2da.,1393.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Total | Otras,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Total,48086.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Colza,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Girasol confitería,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Girasol,40447.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Lino,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Maní,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Soja 1ra.,7529.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Soja 2da.,110.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Primera población | Otras,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Total,3262.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Colza,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Girasol confitería,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Girasol,827.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Lino,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Maní,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Soja 1ra.,1152.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Soja 2da.,1283.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,adolfo gonzales chaves,Hectáreas,Segunda población | Otras,0.0,06014
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Total,47633.3,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Colza,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Girasol confitería,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Girasol,131.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Lino,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Maní,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Soja 1ra.,13943.8,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Soja 2da.,33558.5,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Total | Otras,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Total,14626.8,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Colza,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Girasol confitería,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Girasol,131.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Lino,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Maní,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Soja 1ra.,13660.8,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Soja 2da.,835.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Primera población | Otras,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Total,33006.5,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Colza,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Girasol confitería,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Girasol,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Lino,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Maní,0.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Soja 1ra.,283.0,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Soja 2da.,32723.5,06021
2002,"Cuadro 4.8. Buenos Aires. Oleaginosas. EAP con límites definidos. Superficie implantada por especie, según partido y período de ocupación",buenos aires,alberti,Hectáreas,Segunda población | Otras,0.0,06021
