,Censo,Cuadro,Link,Provincia,Departamento,Indicador,Unidad de registro,Valor
0,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Total,Hectáreas,0.0
1,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Álamo,Hectáreas,0.0
2,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Eucalipto,Hectáreas,0.0
3,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Grevillea,Hectáreas,0.0
4,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Kiri,Hectáreas,0.0
5,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Paraíso,Hectáreas,0.0
6,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Toona,Hectáreas,0.0
7,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Pino,Hectáreas,0.0
8,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Pino oregon,Hectáreas,0.0
9,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Sauce ,Hectáreas,0.0
10,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Sauce álamo,Hectáreas,0.0
11,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Algarrobo,Hectáreas,0.0
12,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Araucaria,Hectáreas,0.0
13,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Cedro,Hectáreas,0.0
14,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Pehuén,Hectáreas,0.0
15,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Tipa,Hectáreas,0.0
16,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Peteribí,Hectáreas,0.0
17,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Lapacho,Hectáreas,0.0
18,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Guatambú,Hectáreas,0.0
19,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Lenga,Hectáreas,0.0
20,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Quebracho,Hectáreas,0.0
21,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Otras forestales nativas,Hectáreas,0.0
22,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06007,Buenos Aires,Adolfo Alsina,Otras forestales,Hectáreas,0.0
23,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Total,Hectáreas,0.0
24,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Álamo,Hectáreas,0.0
25,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Eucalipto,Hectáreas,0.0
26,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Grevillea,Hectáreas,0.0
27,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Kiri,Hectáreas,0.0
28,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Paraíso,Hectáreas,0.0
29,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Toona,Hectáreas,0.0
30,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Pino,Hectáreas,0.0
31,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Pino oregon,Hectáreas,0.0
32,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Sauce ,Hectáreas,0.0
33,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Sauce álamo,Hectáreas,0.0
34,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Algarrobo,Hectáreas,0.0
35,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Araucaria,Hectáreas,0.0
36,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Cedro,Hectáreas,0.0
37,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Pehuén,Hectáreas,0.0
38,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Tipa,Hectáreas,0.0
39,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Peteribí,Hectáreas,0.0
40,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Lapacho,Hectáreas,0.0
41,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Guatambú,Hectáreas,0.0
42,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Lenga,Hectáreas,0.0
43,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Quebracho,Hectáreas,0.0
44,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Otras forestales nativas,Hectáreas,0.0
45,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06014,Buenos Aires,Adolfo Gonzales Chaves,Otras forestales,Hectáreas,0.0
46,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Total,Hectáreas,1445.5
47,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Álamo,Hectáreas,1351.0
48,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Eucalipto,Hectáreas,1.5
49,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Grevillea,Hectáreas,0.0
50,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Kiri,Hectáreas,0.0
51,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Paraíso,Hectáreas,0.0
52,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Toona,Hectáreas,0.0
53,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Pino,Hectáreas,0.0
54,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Pino oregon,Hectáreas,0.0
55,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Sauce ,Hectáreas,93.0
56,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Sauce álamo,Hectáreas,0.0
57,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Algarrobo,Hectáreas,0.0
58,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Araucaria,Hectáreas,0.0
59,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Cedro,Hectáreas,0.0
60,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Pehuén,Hectáreas,0.0
61,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Tipa,Hectáreas,0.0
62,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Peteribí,Hectáreas,0.0
63,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Lapacho,Hectáreas,0.0
64,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Guatambú,Hectáreas,0.0
65,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Lenga,Hectáreas,0.0
66,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Quebracho,Hectáreas,0.0
67,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Otras forestales nativas,Hectáreas,0.0
68,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06021,Buenos Aires,Alberti,Otras forestales,Hectáreas,0.0
69,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Total,Hectáreas,0.0
70,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Álamo,Hectáreas,0.0
71,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Eucalipto,Hectáreas,0.0
72,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Grevillea,Hectáreas,0.0
73,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Kiri,Hectáreas,0.0
74,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Paraíso,Hectáreas,0.0
75,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Toona,Hectáreas,0.0
76,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Pino,Hectáreas,0.0
77,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Pino oregon,Hectáreas,0.0
78,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Sauce ,Hectáreas,0.0
79,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Sauce álamo,Hectáreas,0.0
80,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Algarrobo,Hectáreas,0.0
81,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Araucaria,Hectáreas,0.0
82,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Cedro,Hectáreas,0.0
83,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Pehuén,Hectáreas,0.0
84,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Tipa,Hectáreas,0.0
85,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Peteribí,Hectáreas,0.0
86,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Lapacho,Hectáreas,0.0
87,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Guatambú,Hectáreas,0.0
88,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Lenga,Hectáreas,0.0
89,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Quebracho,Hectáreas,0.0
90,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Otras forestales nativas,Hectáreas,0.0
91,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06028,Buenos Aires,Almirante Brown,Otras forestales,Hectáreas,0.0
92,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Total,Hectáreas,20.0
93,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Álamo,Hectáreas,0.0
94,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Eucalipto,Hectáreas,20.0
95,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Grevillea,Hectáreas,0.0
96,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Kiri,Hectáreas,0.0
97,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Paraíso,Hectáreas,0.0
98,2018,"Bosques y montes implantados. Superficie implantada por especie, según partido, en hectáreas. Al 30 de junio de 2018",06077,Buenos Aires,Arrecifes,Toona,Hectáreas,0.0
