Censo,Cuadro,Provincia,Departamento,Unidad de registro,Indicador,Valor,Link
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,EAP | Total,805.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,EAP | EAP sin límites definidos,0.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,EAP | EAP con límites definidos,805.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,EAP | Hasta 5,1.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 5,1 - 10",3.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 10,1 - 25",5.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 25,1 - 50",34.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 50,1 - 100",70.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 100,1 - 200",154.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 200,1 - 500",278.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 500,1 - 1.000",145.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 1.000,1 - 1.500",53.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 1.500,1 - 2.000",25.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 2.000,1 - 2.500",15.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 2.500,1 - 3.500",10.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 3.500,1 - 5.000",10.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 5.000,1 - 7.500",1.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 7.500,1 - 10.000",1.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"EAP | 10.000,1 - 20.000",0.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,EAP | Más de 20.000,0.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,Hectárea | Total,450109.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,Hectárea | EAP sin límites definidos,-1.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,Hectárea | EAP con límites definidos,450109.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,Hectárea | Hasta 5,1.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 5,1 - 10",27.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 10,1 - 25",99.5,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 25,1 - 50",1450.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 50,1 - 100",6100.5,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 100,1 - 200",23853.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 200,1 - 500",91700.5,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 500,1 - 1.000",101500.5,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 1.000,1 - 1.500",63470.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 1.500,1 - 2.000",43568.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 2.000,1 - 2.500",33884.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 2.500,1 - 3.500",28791.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 3.500,1 - 5.000",41744.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 5.000,1 - 7.500",5650.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 7.500,1 - 10.000",8270.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,"Hectárea | 10.000,1 - 20.000",0.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo alsina,Mixta,Hectárea | Más de 20.000,0.0,06007
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,EAP | Total,346.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,EAP | EAP sin límites definidos,0.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,EAP | EAP con límites definidos,346.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,EAP | Hasta 5,2.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 5,1 - 10",5.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 10,1 - 25",2.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 25,1 - 50",6.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 50,1 - 100",23.0,06014
2002,"Cuadro 1.2. Buenos Aires. Cantidad y superficie total de EAP, por escala de extensión, según partido",buenos aires,adolfo gonzales chaves,Mixta,"EAP | 100,1 - 200",42.0,06014
