,Censo,Cuadro,Provincia,Departamento,Link,Unidad de registro,Indicador,Valor
0,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,Total,556.0
1,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,Hasta 5,-1.0
2,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"5,1 - 10",4.0
3,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"10,1 - 25",3.0
4,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"25,1 - 50",14.0
5,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"50,1 - 100",50.0
6,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"100,1 - 200",106.0
7,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"200,1 - 500",169.0
8,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"500,1 - 1.000",108.0
9,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"1.000,1 - 1.500",38.0
10,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"1.500,1 - 2.000",18.0
11,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"2.000,1 - 2.500",8.0
12,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"2.500,1 - 5.000",24.0
13,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"5.000,1 - 7.500",3.0
14,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"7.500,1 - 10.000",5.0
15,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"10.000,1 - 20.000",4.0
16,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,EAP,"20.000,1 y más",-1.0
17,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,Total,496602.9
18,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,Hasta 5,5.0
19,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"5,1 - 10",39.0
20,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"10,1 - 25",75.0
21,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"25,1 - 50",606.0
22,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"50,1 - 100",4348.0
23,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"100,1 - 200",16913.5
24,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"200,1 - 500",56484.4
25,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"500,1 - 1.000",76229.0
26,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"1.000,1 - 1.500",45742.0
27,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"1.500,1 - 2.000",31635.0
28,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"2.000,1 - 2.500",17782.0
29,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"2.500,1 - 5.000",83952.0
30,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"5.000,1 - 7.500",18385.0
31,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"7.500,1 - 10.000",41600.0
32,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"10.000,1 - 20.000",59526.0
33,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Alsina,06007,Hectáreas,"20.000,1 y más",43281.0
34,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,Total,291.0
35,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,Hasta 5,0.0
36,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"5,1 - 10",3.0
37,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"10,1 - 25",-1.0
38,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"25,1 - 50",4.0
39,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"50,1 - 100",11.0
40,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"100,1 - 200",39.0
41,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"200,1 - 500",79.0
42,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"500,1 - 1.000",62.0
43,2018,"Explotaciones agropecuarias con límites definidos y mixtas por escala de extensión, según partido, en unidades y hectáreas. Al 31 de diciembre de 2017",Buenos Aires,Adolfo Gonzales Chaves,06014,EAP,"1.000,1 - 1.500",32.0
